(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1, 1, 1)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1.2, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
(1, 1.0101, 1.1111)
